nada | seu-socio-gestor-auditoria-planilhas.zip | Inventário!escopo | 53 arquivos XLSX efetivamente abertos; fórmulas lidas como fórmula e valores em cache; 161.932 fórmulas; 274 validações (207 listas, 35 datas, 27 decimais, 5 inteiros); 470 regras de formatação condicional | 20 conferências aritméticas centrais abaixo; contraprovas adicionais nos achados; nenhum Excel ou Google Planilhas executado | Diagnóstico em 17/09/2026; data-base dos números dos kits 03/04 = 14/09/2026

GRAVE | 01-essencial/03-ganhos-e-gastos.xlsx; 02-completo/03-ganhos-e-gastos.xlsx | Painel!A5:G5 | As somas ignoram Pago?: setembro dá 6.670 − (4.173,90 + 362 não pagos) = R$ 2.134,10, quando o caixa do mês é R$ 2.496,10; saldo acumulado dá R$ 8.624,30 em vez de R$ 8.986,30 | O cliente toma decisão com saldo incorreto | Acrescentar Pago? = Sim aos totais de caixa e separar previsão de realizado

GRAVE | 01-essencial/02-relatorio-mensal-pronto.xlsx; 02-completo/02-relatorio-mensal-pronto.xlsx | Indicadores!R11,R16 | O acumulado soma indicadores monetários que são razões: ticket médio vira R$ 80.700 e custo por lead R$ 405,80 | Os números calculam sem erro, mas não são ticket nem custo unitário do período | Definir agregação por indicador; para essas razões, dividir os numeradores totais pelos denominadores totais, que hoje não estão fornecidos

GRAVE | 02-completo/04-projetos-e-prazos.xlsx | Etapas!G5:G304; Painel!G5,G9:G18 | Preencher fim real conclui a etapa, conforme Como usar!B6, mas o percentual continua vindo de F; fim real com F = 0 produz etapa concluída e progresso de 0% | O painel informa progresso errado ao cliente que seguiu a instrução | Usar percentual efetivo de 100% quando houver fim real, ou exigir e validar atualização conjunta

GRAVE | 02-completo/08-funil-de-propostas.xlsx; 03-advogados/15-funil-de-propostas.xlsx; 04-medicos/15-orcamentos.xlsx | Painel!E5 | O total do trimestre só tem limite inferior de data; com referência 30/06/2026, o jurídico soma R$ 71.000 em vez de R$ 18.000 e o médico R$ 8.960 em vez de zero | Fechamentos de trimestres posteriores entram no trimestre consultado | Incluir data menor que o início do trimestre seguinte; definir também se a leitura é trimestre inteiro ou até a referência

GRAVE | 02-completo/09-horas-e-custo-por-projeto.xlsx | Horas!B5:B804,F5:F804 | A lista de pessoas aceita texto livre sem alerta e MATCH inexistente vira custo zero por IFERROR(...,0) | Um nome digitado diferente transforma horas trabalhadas em trabalho sem custo | Rejeitar pessoa fora do cadastro e apresentar erro de cadastro em vez de custo zero

GRAVE | 02-completo/10-base-limpa.xlsx | Resumo!A8:A15,A20:A27 | Listas admite 30 categorias e 30 clientes, mas o resumo cobre somente os primeiros oito de cada | O nono cadastro válido já desaparece da análise | Cobrir toda a capacidade cadastrável ou limitar explicitamente a entrada a oito; conferir reconciliação dos subtotais

