GRAVE	01-essencial/03-ganhos-e-gastos.xlsx; 02-completo/03-ganhos-e-gastos.xlsx	Painel!A5:G5	As somas ignoram Pago?: setembro dá 6.670 − (4.173,90 + 362 não pagos) = R$ 2.134,10, quando o caixa do mês é R$ 2.496,10; saldo acumulado dá R$ 8.624,30 em vez de R$ 8.986,30	O cliente toma decisão com saldo incorreto	Acrescentar Pago? = Sim aos totais de caixa e separar previsão de realizado
GRAVE	01-essencial/02-relatorio-mensal-pronto.xlsx; 02-completo/02-relatorio-mensal-pronto.xlsx	Indicadores!R11,R16	O acumulado soma indicadores monetários que são razões: ticket médio vira R$ 80.700 e custo por lead R$ 405,80	Os números calculam sem erro, mas não são ticket nem custo unitário do período	Definir agregação por indicador; para essas razões, dividir os numeradores totais pelos denominadores totais, que hoje não estão fornecidos
GRAVE	02-completo/04-projetos-e-prazos.xlsx	Etapas!G5:G304; Painel!G5,G9:G18	Preencher fim real conclui a etapa, conforme Como usar!B6, mas o percentual continua vindo de F; fim real com F = 0 produz etapa concluída e progresso de 0%	O painel informa progresso errado ao cliente que seguiu a instrução	Usar percentual efetivo de 100% quando houver fim real, ou exigir e validar atualização conjunta
GRAVE	02-completo/08-funil-de-propostas.xlsx; 03-advogados/15-funil-de-propostas.xlsx; 04-medicos/15-orcamentos.xlsx	Painel!E5	O total do trimestre só tem limite inferior de data; com referência 30/06/2026, o jurídico soma R$ 71.000 em vez de R$ 18.000 e o médico R$ 8.960 em vez de zero	Fechamentos de trimestres posteriores entram no trimestre consultado	Incluir data menor que o início do trimestre seguinte; definir também se a leitura é trimestre inteiro ou até a referência
GRAVE	02-completo/09-horas-e-custo-por-projeto.xlsx	Horas!B5:B804,F5:F804	A lista de pessoas aceita texto livre sem alerta e MATCH inexistente vira custo zero por IFERROR(...,0)	Um nome digitado diferente transforma horas trabalhadas em trabalho sem custo	Rejeitar pessoa fora do cadastro e apresentar erro de cadastro em vez de custo zero
GRAVE	02-completo/10-base-limpa.xlsx	Resumo!A8:A15,A20:A27	Listas admite 30 categorias e 30 clientes, mas o resumo cobre somente os primeiros oito de cada	O nono cadastro válido já desaparece da análise	Cobrir toda a capacidade cadastrável ou limitar explicitamente a entrada a oito; conferir reconciliação dos subtotais
GRAVE	03-advogados/06-simulador-de-honorarios.xlsx	Simulador!B15,I53,K53	A hora mínima ignora R$ 450 de despesas absorvidas: custo do caso = 53 × 66,0714 + 450 = R$ 3.951,7842; a R$ 110/h, margem = (5.830 − 466,40 − 3.951,7842) ÷ 5.830 = 24,22%, mas aparece risco Baixo e cobertura da margem desejada de 30%	O simulador aprova um preço que não entrega a margem informada	Comparar com (3.951,7842 ÷ 53) ÷ (1 − 8% − 30%) = R$ 120,26/h, ou avaliar diretamente a margem efetiva
GRAVE	03-advogados/07-proposta-de-honorarios.xlsx	Proposta!B25,E26,C32:C43	Parcelas do restante diz 1 a 12, mas a validação admite zero e nem bloqueia entradas inválidas; zero deixa R$ 2.700 de saldo do exemplo sem parcelas	A proposta pode ser enviada com parte do preço sem cronograma de cobrança	Exigir inteiro entre 1 e 12 quando houver saldo; permitir zero somente se entrada quitar 100%
GRAVE	03-advogados/11-pro-labore.xlsx; 04-medicos/11-repasse-e-pro-labore.xlsx	Painel!F32:G35; Painel!F36:G39	Fechado? depende somente do mês selecionado, sem confirmar três meses preenchidos; o quarto trimestre exige mês > 12, condição impossível	Pode distribuir lucro parcial e nunca reconhece distribuição do quarto trimestre	Usar ano e data efetiva de fechamento e exigir completude dos três meses antes de liberar distribuição
GRAVE	03-advogados/16-horas-por-caso.xlsx	Painel!K5,L32:L91	O indicador de casos que consomem mais do que pagam examina apenas 60 casos, embora Casos aceite 200	Um caso deficitário da posição 61 em diante não entra no alerta geral	Calcular o indicador sobre todo o cadastro e limitar somente a tabela exibida
GRAVE	03-advogados/18-resultado-mensal.xlsx	Resultado!E11:E12,E31:E33	A devolução de despesa pessoal de R$ 480 entra como receita tributável; a receita de abril vira R$ 20.240, contra R$ 19.760 usados nas planilhas 10 e 11; imposto exibido R$ 1.619 contra R$ 1.581 na base coerente	Resultado e provisão divergem dentro do mesmo kit	Separar devolução de sócio da receita operacional e regenerar imposto, resultado e exemplos dependentes
GRAVE	03-advogados/20-resumo-do-mes.xlsx; 04-medicos/20-resumo-do-mes.xlsx	Resumo!A8:A19	Se o mês anterior é zero e o atual é positivo, a variação fica vazia e a frase passa a dizer igual ao mês anterior	O relatório enviado ao cliente afirma igualdade entre valores diferentes	Distinguir base zero de valores iguais e escrever variação percentual não aplicável, com a diferença absoluta
GRAVE	01-essencial/02-relatorio-mensal-pronto.xlsx; 02-completo/02-relatorio-mensal-pronto.xlsx; 03-advogados/20-resumo-do-mes.xlsx; 04-medicos/20-resumo-do-mes.xlsx	Resumo!A22 nos kits 01/02; Resumo!A24 nos kits 03/04	Meta zero deixa o desvio sem número e exclui o indicador da contagem usada para declarar nenhum indicador fora da meta	Uma despesa positiva com meta zero pode constar como fora no painel e desaparecer da conclusão	Contar a situação do indicador independentemente da possibilidade de dividir pela meta
GRAVE	04-medicos/01-agenda-e-ocupacao.xlsx	Config!G20:G43	INDEX/MATCH termina em I49:J49, mas Sábado está em I50:J50 e é uma escolha válida	Turnos de sábado ficam com capacidade zero, distorcendo horas disponíveis e ocupação	Incluir a linha 50 nos dois intervalos e conferir sábado com atendimentos e sem atendimentos
GRAVE	04-medicos/01-agenda-e-ocupacao.xlsx	Agenda!L5:M3004; Config!K5:P16	Duração e preço de atendimentos históricos são buscados sempre na tabela atual	Alterar o preço ou a duração para novos atendimentos reescreve produção e ocupação passadas, divergindo das cópias em outros arquivos	Registrar tarifa e duração aplicadas a cada atendimento ou pesquisar tabela por vigência
GRAVE	04-medicos/01-agenda-e-ocupacao.xlsx	Painel!C5,E5; Config!B9	Horas disponíveis terminam ontem, mas horas realizadas somam o mês inteiro, incluindo atendimentos registrados hoje	A ocupação cresce com numerador e denominador de períodos diferentes	Aplicar a mesma data de corte aos dois lados, inclusive nos quadros por profissional, sala e dia
GRAVE	04-medicos/02-faltas-e-retornos.xlsx	Agenda!V5:V3004; Painel!B90:C99	A pontuação é faltas × 1.000 − linha/100.000, mas a seleção exige >= 2.000 e a contagem usa INT(pontuação/1.000): duas faltas ficam abaixo de 2.000; três aparecem como duas	O ranking omite reincidentes e subconta faltas	Separar contagem inteira do critério de desempate e filtrar a contagem >= 2
GRAVE	04-medicos/11-repasse-e-pro-labore.xlsx	Config!C25:C28; Repasse!D5:G40	Escolher Recebido no mês não altera nenhuma fórmula; o devido continua sendo produção × percentual	O cliente paga repasse pela base errada apesar de selecionar o acordo correto	Criar entrada separada de recebimentos e usar a opção Sobre no cálculo e nos rótulos
GRAVE	04-medicos/16-conciliacao-de-cartao.xlsx	Painel!B56:J65	A lista Falta conferir usa Vendas!O, ainda vai cair, em vez da pontuação de pendências em S; o exemplo repete Isabela Xavier, vencimento 19/09, líquido vencido zero e dias negativos	A conferência prioriza dinheiro futuro e repete registros, ocultando pendências reais	Classificar por S e buscar a linha correspondente, com desempate único
GRAVE	04-medicos/16-conciliacao-de-cartao.xlsx	Config!B17; Vendas!K5:O2004,U5:W2004	Com antecipação = Sim, só a primeira parcela vai para D+1; as demais continuam espaçadas em 30 dias	O calendário de recebimento contradiz a antecipação integral descrita em Config!D17	Se a antecipação for integral, liquidar todo o líquido em D+1; se parcial, cadastrar quais parcelas foram antecipadas
GRAVE	04-medicos/16-conciliacao-de-cartao.xlsx	Vendas!G5:G2004,R5:T2004	Conferido é uma única marca por venda; marcar Sim ao conferir a primeira parcela impede que as seguintes voltem a A conferir quando vencerem	Parcelas posteriores não recebidas podem desaparecer da cobrança à operadora	Conciliar por parcela, com data e valor efetivamente recebidos para cada uma
GRAVE	02-completo/04-projetos-e-prazos.xlsx; 02-completo/05-ata-e-pendencias.xlsx; 02-completo/10-base-limpa.xlsx	Painel!E38:E47; Em aberto!F28:F39 e Resumo!A33; Resumo!E20:E27	Há _xlfn.MINIFS, _xlfn.TEXTJOIN e _xlfn.MAXIFS no XML: 31 células; essas funções exigem Excel posterior ao 2016 perpétuo e violam a regra Excel 2007	Próximos prazos e últimas datas podem sumir sob IFERROR; o texto da ata pode dar #NOME?	Substituir por auxiliares e funções permitidas; não basta apagar o prefixo _xlfn
GRAVE	02-completo/10-base-limpa.xlsx	Base!A2:A1001,J2:J1001,L2:M1001	Base está sem proteção, expondo 4.000 fórmulas; Como usar e Listas também estão desprotegidas	Digitação ou colagem pode destruir cálculo sem nenhum aviso, mesmo em célula marcada como bloqueada	Ativar proteção em todas as abas e deixar editável apenas a entrada amarela
MÉDIO	01-essencial/02-relatorio-mensal-pronto.xlsx; 02-completo/02-relatorio-mensal-pronto.xlsx	Painel!B18	A seleção amarela do gráfico contém fórmula =Indicadores!A5, desbloqueada	Digitar uma seleção apaga uma fórmula, contrariando a convenção inferida dos kits 03/04	Usar seleção literal amarela ou tornar a seleção calculada bloqueada; distinguir também datas relativas de demonstração das entradas definitivas
