Nada | seu-socio-gestor-auditoria-3.zip | Escopo!18/09/2026 | 53 XLSX abertos e inspecionados: 234 abas, 162.716 fórmulas, 276 validações e 470 regras condicionais. TRIAGEM-COMPLETA.md, LEIA-ME.md, INVENTARIO.md e referências lidos. Comparação com o pacote e o parecer anteriores. | Diagnóstico sem alterar qualquer XLSX; hashes dos 53 originais conferidos ao final. | Este relatório contém correções G-1 a G-32, regressões, 12 contas novas, contratos, veredictos, testes nativos e inventários. Nada significa ausência de achado naquele teste, não certificação universal.

Nada | 53 XLSX | Método!limites | Leitura de XML/openpyxl, dados e caches originais; aritmética independente em Python; alterações de cenário somente em memória no motor Artifact. Não executei Microsoft Excel nem Google Planilhas. | O motor alternativo falhou em referências com acentos, em algumas funções e na carga da planilha de faltas; descartei esses erros como prova de defeito e conferi as expressões diretamente. Cache existente não foi tratado como recálculo independente. | Fórmulas literais relevantes estão no anexo; a string é representada em JSON, com \u007C para a barra vertical e \n para quebra de linha. A execução nativa permanece pendente no roteiro final.

GRAVE | 01-essencial/03-ganhos-e-gastos.xlsx; 02-completo/03-ganhos-e-gastos.xlsx | Painel!A5:K5,B29,C8:C9 | Parte 1 · G-1 · NÃO RESOLVIDO. A5/C5/G5 passaram a filtrar Pago?=Sim: 6.670−4.173,90=2.496,10 e 2.500+20.020−13.533,70=8.986,30. Porém B29 ainda soma 4.535,90, incluindo R$ 362 não pagos; C8 continua 4.131,90 em vez de (4.268,90+5.090,90+4.173,90−1.500)/3=4.011,233333. C9 também não exige pagamento. | O topo mostra caixa e as categorias/reserva mostram outra base. Uma reserva de R$ 1.000 ainda não paga aumenta o dinheiro supostamente guardado. | Aplicar Pago?=Sim às categorias e à reserva; separar valores previstos. A receber=0 e A pagar=362 não duplicam os totais pagos, mas abrangem todas as datas, não só o mês selecionado.

Nada | 01-essencial/02-relatorio-mensal-pronto.xlsx; 02-completo/02-relatorio-mensal-pronto.xlsx | Indicadores!R11,T11,R16,T16 | Parte 1 · G-2 · RESOLVIDO. R11 usa IF(T11="Média",AVERAGE(...),SUM(...)); lista T5:T16="Soma,Média" com bloqueio. Ticket: 80.700/9=8.966,666667; CPL: 405,80/9=45,088889. Em memória, trocar T11 para Soma devolveu 80.700; retornar a Média recuperou 8.966,666667. | As duas cópias são coerentes. A regra é média aritmética dos meses preenchidos; não é razão ponderada por quantidade de clientes/leads, bases que não foram fornecidas. | Nada para o comportamento explicitamente solicitado.

Nada | 02-completo/04-projetos-e-prazos.xlsx | Etapas!L5:L304; Painel!G5,G9 | Parte 1 · G-3 · RESOLVIDO. L usa IF(I<>"",1,N(F)). Teste F5=0 e fim real preenchido: L5=1 e situação Concluída. Site: (1+1+1+0,6+0,7+0+0)/7=61,428571%; geral=(4,3+1,5+1,3+3,8)/20=54,5%. | As duas médias usam L, não o percentual antigo F; resultado coincide com os caches no exemplo. | Nada

Nada | 02-completo/08-funil-de-propostas.xlsx; 03-advogados/15-funil-de-propostas.xlsx; 04-medicos/15-orcamentos.xlsx | Painel!E5 | Parte 1 · G-4 · RESOLVIDO. SUMIFS inclui >= início do trimestre e < início do seguinte. Em 30/06/2026, reconstituição das linhas dá R$ 0 no Completo, R$ 18.000 no Advogados e R$ 0 no Médicos; julho fica fora. Teste de fronteira Q4: R$ 100 em 01/10 + R$ 200 em 31/12 = R$ 300; R$ 400 em 01/01/2027 é excluído. | DATE trata a passagem de dezembro a janeiro nos três arquivos. O motor confirmou 300 nos dois funis sem nome de aba acentuado; o terceiro foi conferido diretamente pela expressão e pelas datas. | Nada; confirmar a mesma fronteira no Excel.

GRAVE | 02-completo/09-horas-e-custo-por-projeto.xlsx | Config!D11; Horas!F5 | Parte 1 · G-5 · NÃO RESOLVIDO. Pessoa fora do cadastro aciona a validação e, se chegar à fórmula, produz "pessoa sem custo-hora em Config". Mas D11=IF(OR(A11="",C11=0),"",B11/C11) não testa B11 vazio. Apagar o custo mensal de Ana deixa 0/140=0 e Horas!F5 passa de 6×70=420 para R$ 0, sem aviso. | Pessoa cadastrada com custo ausente ainda faz o projeto parecer mais lucrativo. | Exigir salário/custo e horas válidos antes de calcular o custo-hora; propagar uma pendência explícita e não consolidar custo incompleto como zero.

Nada | 02-completo/10-base-limpa.xlsx | Resumo!A8:N38,A42:E71 | Parte 1 · G-6 · RESOLVIDO. Categorias cobrem Listas!A5:A34; clientes E5:E34. Teste no 30º cadastro: Base!H1001=2 e I1001=100, status Pago em 2026; categoria30 N37=200, total N38=264.975, cliente30 C71=200 e última data E71=27/06/2026. | Total original=264.775. Não encontrei referência residual ao antigo total da linha 16; N16 agora soma legitimamente apenas a categoria daquela linha. Regras condicionais da Checklist não dependem dele. | Nada

Nada | 03-advogados/06-simulador-de-honorarios.xlsx | Simulador!B15,I53,K53 | Parte 1 · G-7 · RESOLVIDO. B15=(custo das horas+despesas absorvidas)/horas/(1−imposto−margem): (53×66,0714+450)/53/0,62=120,2612355/h. A R$ 110: receita=5.830, imposto=466,40, lucro=1.411,8158, margem=24,2163945%; I53=Médio. K53 informa que a hora está abaixo da mínima com margem. | O preço de R$ 110 cobre custo e imposto, mas não a meta de 30%; risco e alerta são coerentes nesse cenário. | Nada para G-7; a borda de zero horas e a nota antiga C11 aparecem separadamente abaixo.

MÉDIO | 03-advogados/07-proposta-de-honorarios.xlsx | Proposta!B25,E25:E26,C32:E43 | Parte 1 · G-8 · NÃO RESOLVIDO. Validação de B25 continua inteiro entre 0 e 12, com showErrorMessage=1; não relaciona saldo e parcelas. Com total 4.500, entrada 40%=1.800 e B25=0, E25 avisa "ATENÇÃO: 2.700,00 sem parcelas", E26=0 e o cronograma fica vazio. Com entrada 100%, zero é legítimo e o saldo é 0. | O aviso evita o silêncio anterior, por isso rebaixo este remanescente a MÉDIO; porém zero com saldo continua aceito e a proposta pode sair sem vencimentos. | Usar validação customizada que aceite zero apenas se saldo=0 e inteiro positivo se saldo>0; impedir emissão enquanto houver saldo sem cronograma.

GRAVE | 03-advogados/11-pro-labore.xlsx; 04-medicos/11-repasse-e-pro-labore.xlsx!Painel!F39:G39 | Painel!F32:F35,G32:G35 | Parte 1 · G-9 · NÃO RESOLVIDO. F35 ainda é IF(Config!$B$7>12,"Sim","Em andamento"): nunca fecha. F32 usa mês>3 sem comprovar os três meses; apagar fevereiro mantém "Sim". No Médicos, F39 exige data>=01/01 do próximo ano e COUNT(B14:B16)>=3: fecha Q4 com três receitas, mas ignora despesas ausentes. Com três receitas de 30.000 e saídas vazias: 90.000−54.000 de pró-labore=36.000; G39 libera 18.000. | O Advogados nunca libera Q4 e ambos podem autorizar distribuição sem despesas completas. No teste com receitas 30.000, saídas 5.000 e pró-labore 18.000 por mês, o Médicos corretamente chega a 21.000 de resultado e 10.500 distribuíveis. | Aplicar data de referência e fechamento explícito de cada um dos três meses nos dois kits; diferenciar zero confirmado de dado ausente.

Nada | 03-advogados/16-horas-por-caso.xlsx | Casos!K204:M204; Painel!K5 | Parte 1 · G-10 · RESOLVIDO. K/L/M cobrem 5:204 e K5 conta M5:M204. Caso na última linha, contrato=100 e histórico=10 h: K204=10; L204=10×66,0714285714=660,714285714; M204="Consome mais do que paga"; contador deve passar de 0 para 1. | Aritmética e referência integral de 200 casos verificadas. O motor alternativo não calculou a aba Lançamentos com acento; esse teste de contagem ficou demonstrado pela expressão, não por Excel. | Nada; repetir a entrada da linha 204 no teste nativo.

Nada | 03-advogados/18-resultado-mensal.xlsx | Resultado!E11,E30,E32:E33,I32:I33 | Parte 1 · G-11 · RESOLVIDO. Abril: SUM(E6:E10)=11.400+3.060+0+5.300+0=19.760; ROUND(19.760×8%,0)=1.581; resultado=19.760−6.500−540−12.000−1.581=−861; margem=−4,35728745%. Devolução R$ 480 permanece em 09/Lançamentos!F89:G89 e 11/Retiradas!C16:E16, fora da receita operacional. | A planilha 20 está em agosto: 26.900−21.212=5.688 e 5.688/26.900=21,1449814%, reproduzidos como 5.688 e 21,1%. Não comparei abril da 18 a agosto da 20 como se fossem o mesmo período. | Nada nos XLSX; a tabela de referência da DRE ficou desatualizada, achado separado.

Nada | 03-advogados/20-resumo-do-mes.xlsx; 04-medicos/20-resumo-do-mes.xlsx | Resumo!A8:A19 | Parte 1 · G-12 · RESOLVIDO. A fórmula contém AND(Painel!R5<>"",Painel!R5=0,Painel!Q5<>0) e escreve "sem base de comparação: Julho foi zero". Reconstituição: anterior=0/atual=26.900 ou 55.841 segue esse ramo; 0/0 fica igual; anterior ausente não vira zero; anterior positivo usa variação. | A correção está nas duas planilhas 20. O motor alternativo confundiu zero e vazio nessa comparação; usei a expressão armazenada e distingui essa limitação. | Nada nesses dois arquivos; os relatórios 01/02 ainda precisam da mesma distinção, registrada abaixo.

Nada | 01-essencial/02-relatorio-mensal-pronto.xlsx; 02-completo/02-relatorio-mensal-pronto.xlsx; 03-advogados/20-resumo-do-mes.xlsx; 04-medicos/20-resumo-do-mes.xlsx | Resumo!A23; Painel!G5:G16 | Parte 1 · G-13 · RESOLVIDO. Conclusão conta a situação: COUNTIF(...,"No alvo") e denominador de situações preenchidas; nas planilhas 20 soma os três rótulos válidos. Meta=0, realizado>0 e Menor é melhor dá Acima da meta e continua no denominador: Essencial/Completo 9/12, Advogados 9/11 e Médicos 3/10 no cenário de trocar a meta do primeiro indicador por zero. | Reconstituição dos critérios a partir dos inputs e das fórmulas; zero não deve ser confundido com célula vazia. Os números originais são 10/12, 10/11 e 4/10, respectivamente. | Nada; incluir esse caso no roteiro nativo porque o motor alternativo teve semântica de vazio diferente.

Nada | 04-medicos/01-agenda-e-ocupacao.xlsx | Config!G30,I50:J50; Painel!A5 | Parte 1 · G-14 · RESOLVIDO. INDEX passa até J50 e MATCH até I50. Até 13/09 há dois sábados, 05 e 12/09. Turno de 4 h cadastrado no sábado produz G30=2×4=8 e capacidade total=64+8=72 h. | Teste em memória confirmou 72; ocupação muda para 51,833333/72=71,9907407%. | Nada

GRAVE | 04-medicos/01-agenda-e-ocupacao.xlsx | Agenda!L5:M3004; Config!K5,N5 | Parte 1 · G-15 · NÃO RESOLVIDO. L/M continuam INDEX/MATCH na tabela atual. Atendimento histórico de 01/06: alterar Config!N5 de 120 para 150 muda M5 de 120 para 150; alterar K5 de 30 para 60 muda L5 de 30 para 60. No painel de setembro, só essa mudança de duração leva 51,833333 h a 76,333333 h, com ocupação 119,270833%. | Congelar a data de referência não congela preços nem duração; um reajuste reescreve o faturamento e a ocupação antigos. | Gravar preço e duração no lançamento, ou buscar tabela com vigência por data; manter condições históricas.

